     _        _               _
    / \  ____| |_  ___ __  __(_) _____
   / _ \|  _ \ __|/ _ \  \/  | |/  __/
  / ___ \ | \/ |_/  __/ |\/| | |\___ \
2023-12-22 15:30:58,431 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address DLQ supporting [ANYCAST]
2023-12-22 15:30:58,447 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue DLQ on address DLQ
2023-12-22 15:30:58,496 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address ExpiryQueue supporting [ANYCAST]
2023-12-22 15:30:58,497 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue ExpiryQueue on address ExpiryQueue
2023-12-22 15:30:58,825 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:61616 for protocols [CORE,MQTT,AMQP,STOMP,HORNETQ,OPENWIRE]
2023-12-22 15:30:58,827 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:5445 for protocols [HORNETQ,STOMP]
2023-12-22 15:30:58,869 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:5672 for protocols [AMQP]
2023-12-22 15:30:58,871 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:1883 for protocols [MQTT]
2023-12-22 15:30:58,874 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:61613 for protocols [STOMP]
2023-12-22 15:30:58,878 INFO  [org.apache.activemq.artemis.core.server] AMQ221007: Server is now live
2023-12-22 15:30:58,878 INFO  [org.apache.activemq.artemis.core.server] AMQ221001: Apache ActiveMQ Artemis Message Broker version 2.19.1 [0.0.0.0, nodeID=1a42f1ad-a0df-11ee-93ef-0242ac120002] 
2023-12-22 15:30:59,118 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Initialized activemq-branding plugin
2023-12-22 15:30:59,168 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Initialized artemis-plugin plugin
2023-12-22 15:30:59,405 INFO  [io.hawt.HawtioContextListener] Initialising hawtio services
2023-12-22 15:30:59,422 INFO  [io.hawt.system.ConfigManager] Configuration will be discovered via system properties
2023-12-22 15:30:59,424 INFO  [io.hawt.jmx.JmxTreeWatcher] Welcome to Hawtio 2.14.2
2023-12-22 15:30:59,431 INFO  [io.hawt.web.auth.AuthenticationConfiguration] Starting hawtio authentication filter, JAAS realm: "activemq" authorized role(s): "amq" role principal classes: "org.apache.activemq.artemis.spi.core.security.jaas.RolePrincipal"
2023-12-22 15:30:59,437 INFO  [io.hawt.web.auth.LoginRedirectFilter] Hawtio loginRedirectFilter is using 1800 sec. HttpSession timeout
2023-12-22 15:30:59,447 INFO  [io.hawt.web.proxy.ProxyServlet] Proxy servlet is disabled
2023-12-22 15:30:59,453 INFO  [io.hawt.web.servlets.JolokiaConfiguredAgentServlet] Jolokia overridden property: [key=policyLocation, value=file:/usr/src/app/mybroker/etc/jolokia-access.xml]
2023-12-22 15:30:59,536 INFO  [org.apache.activemq.artemis] AMQ241001: HTTP Server started at http://localhost:8161
2023-12-22 15:30:59,537 INFO  [org.apache.activemq.artemis] AMQ241002: Artemis Jolokia REST API available at http://localhost:8161/console/jolokia
2023-12-22 15:30:59,537 INFO  [org.apache.activemq.artemis] AMQ241004: Artemis Console available at http://localhost:8161/console
2023-12-22 15:31:15,718 INFO  [io.hawt.web.auth.AuthenticationFilter] Destroying hawtio authentication filter
2023-12-22 15:31:15,720 INFO  [io.hawt.HawtioContextListener] Destroying hawtio services
2023-12-22 15:31:15,738 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Destroyed artemis-plugin plugin
2023-12-22 15:31:15,747 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Destroyed activemq-branding plugin
2023-12-22 15:31:15,764 INFO  [org.apache.activemq.artemis.core.server] AMQ221002: Apache ActiveMQ Artemis Message Broker version 2.19.1 [1a42f1ad-a0df-11ee-93ef-0242ac120002] stopped, uptime 18.402 seconds
Server stopped!
